   text	   data	    bss	    dec	    hex	filename
 735502	   5100	 164928	 905530	  dd13a	app.elf

   text	   data	    bss	    dec	    hex	filename
     58	      0	      0	     58	     3a	stub.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk7251/libbk7251.a)
   8823	      0	      0	   8823	   2277	icu_hal_debug.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk7251/libbk7251.a)
      0	      0	      0	      0	      0	icu_ll.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk7251/libbk7251.a)
   1786	      0	      0	   1786	    6fa	pwm_hal_debug.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk7251/libbk7251.a)
      0	      0	      0	      0	      0	pwm_ll.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk7251/libbk7251.a)
    730	      0	      0	    730	    2da	timer_hal_debug.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk7251/libbk7251.a)
      0	      0	      0	      0	      0	timer_ll.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk7251/libbk7251.a)
   1588	      0	      0	   1588	    634	gpio_hal_debug.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk7251/libbk7251.a)
      0	      0	      0	      0	      0	gpio_ll.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk7251/libbk7251.a)
   3276	      0	      0	   3276	    ccc	dma_hal_debug.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk7251/libbk7251.a)
      0	      0	      0	      0	      0	dma_ll.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk7251/libbk7251.a)
   3288	      0	      0	   3288	    cd8	uart_hal_debug.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk7251/libbk7251.a)
      0	      0	      0	      0	      0	uart_ll.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk7251/libbk7251.a)
    223	      0	      0	    223	     df	wdt_hal_debug.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk7251/libbk7251.a)
      0	      0	      0	      0	      0	wdt_ll.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk7251/libbk7251.a)
    274	      0	      0	    274	    112	trng_hal_debug.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk7251/libbk7251.a)
      0	      0	      0	      0	      0	trng_ll.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk7251/libbk7251.a)
    451	      0	      0	    451	    1c3	efuse_hal_debug.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk7251/libbk7251.a)
      0	      0	      0	      0	      0	efuse_ll.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk7251/libbk7251.a)
   1322	      0	      0	   1322	    52a	adc_hal_debug.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk7251/libbk7251.a)
      0	      0	      0	      0	      0	adc_ll.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk7251/libbk7251.a)
   2040	      0	      0	   2040	    7f8	spi_hal_debug.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk7251/libbk7251.a)
      0	      0	      0	      0	      0	spi_ll.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk7251/libbk7251.a)
  10065	      0	      0	  10065	   2751	qspi_hal_debug.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk7251/libbk7251.a)
      0	      0	      0	      0	      0	qspi_ll.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk7251/libbk7251.a)
   1188	      0	      4	   1192	    4a8	sys_hal.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk7251/libbk7251.a)
   2627	      0	      0	   2627	    a43	i2c_hal_debug.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk7251/libbk7251.a)
      0	      0	      0	      0	      0	i2c_ll.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk7251/libbk7251.a)
   1825	      0	      0	   1825	    721	jpeg_hal_debug.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk7251/libbk7251.a)
    164	      0	      0	    164	     a4	jpeg_ll.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk7251/libbk7251.a)
   1602	      0	      0	   1602	    642	flash_hal_debug.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk7251/libbk7251.a)
      0	      0	      0	      0	      0	flash_ll.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk7251/libbk7251.a)
  41330	      0	      4	  41334	    0x0	/home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk7251/libbk7251.a

   text	   data	    bss	    dec	    hex	filename
    252	      0	      0	    252	     fc	pwm_hal.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/common/libcommon.a)
    424	      0	      0	    424	    1a8	timer_hal.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/common/libcommon.a)
    593	      0	      0	    593	    251	dma_hal.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/common/libcommon.a)
     12	      0	      0	     12	      c	icu_hal.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/common/libcommon.a)
     80	      0	      0	     80	     50	wdt_hal.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/common/libcommon.a)
    742	      0	      0	    742	    2e6	spi_hal.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/common/libcommon.a)
    608	      0	      0	    608	    260	i2c_hal.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/common/libcommon.a)
   2485	      0	      0	   2485	    9b5	gpio_hal.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/common/libcommon.a)
    496	      0	      0	    496	    1f0	uart_hal.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/common/libcommon.a)
    390	      0	      0	    390	    186	adc_hal.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/common/libcommon.a)
    148	      0	      0	    148	     94	flash_hal.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/common/libcommon.a)
    315	      0	      0	    315	    13b	efuse_hal.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/common/libcommon.a)
     48	      0	      0	     48	     30	trng_hal.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/common/libcommon.a)
   1054	      0	      4	   1058	    422	qspi_hal.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/common/libcommon.a)
    244	      0	      0	    244	     f4	jpeg_hal.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/common/libcommon.a)
   7891	      0	      4	   7895	  0x244	/home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/common/libcommon.a

   text	   data	    bss	    dec	    hex	filename
   2221	      4	      5	   2230	    8b6	rtos_pub.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk_rtos/libbk_rtos.a)
   1398	      0	      0	   1398	    576	rtos_debug.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk_rtos/libbk_rtos.a)
    253	      0	      0	    253	     fd	mem_arch.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk_rtos/libbk_rtos.a)
    353	      0	      0	    353	    161	platform_stub.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk_rtos/libbk_rtos.a)
    224	      0	      0	    224	     e0	str_arch.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk_rtos/libbk_rtos.a)
   4449	      4	      5	   4458	  0x224	/home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk_rtos/libbk_rtos.a

   text	   data	    bss	    dec	    hex	filename
     96	      0	      1	     97	     61	ate.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk_ate/libbk_ate.a)
     96	      0	      1	     97	   0x97	/home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk_ate/libbk_ate.a

   text	   data	    bss	    dec	    hex	filename
    614	      0	      0	    614	    266	base_64.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/base64/libbase64.a)
    614	      0	      0	    614	  0x614	/home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/base64/libbase64.a

   text	   data	    bss	    dec	    hex	filename
    274	      0	      0	    274	    112	bk_ef.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/easy_flash/libeasy_flash.a)
    224	      0	      0	    224	     e0	easyflash.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/easy_flash/libeasy_flash.a)
   2702	      0	   1046	   3748	    ea4	ef_env.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/easy_flash/libeasy_flash.a)
      0	      0	      0	      0	      0	ef_env_wl.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/easy_flash/libeasy_flash.a)
      0	      0	      0	      0	      0	ef_iap.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/easy_flash/libeasy_flash.a)
      0	      0	      0	      0	      0	ef_log.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/easy_flash/libeasy_flash.a)
   1064	      0	      0	   1064	    428	ef_utils.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/easy_flash/libeasy_flash.a)
    443	      0	      4	    447	    1bf	ef_port.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/easy_flash/libeasy_flash.a)
   4707	      0	   1050	   5757	  0x447	/home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/easy_flash/libeasy_flash.a

   text	   data	    bss	    dec	    hex	filename
    466	     21	      0	    487	    1e7	legacy_init.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk_init/libbk_init.a)
    451	      0	      0	    451	    1c3	components_init.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk_init/libbk_init.a)
    644	      0	      9	    653	    28d	reset_reason.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk_init/libbk_init.a)
