   text	   code	 rodata	   data	    bss	    dec	    hex	filename
1037401	 854570	 182831	  14936	 271208	1323545	 143219	app.elf

   text	   code	 rodata	   data	    bss	    dec	    hex	filename
     81	     52	     29	      0	      0	     81	     51	stub.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
   8603	   5348	   3255	      0	      0	   8603	   219b	icu_hal_debug.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
      0	      0	      0	      0	      0	      0	      0	icu_ll.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
   2447	   1434	   1013	      0	      0	   2447	    98f	pwm_hal_debug.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
      0	      0	      0	      0	      0	      0	      0	pwm_ll.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
   1298	    782	    516	      0	      0	   1298	    512	timer_hal_debug.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
      0	      0	      0	      0	      0	      0	      0	timer_ll.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
   1095	    592	    503	      0	      0	   1095	    447	gpio_hal_debug.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
      0	      0	      0	      0	      0	      0	      0	gpio_ll.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
   3988	   2000	   1988	      0	      0	   3988	    f94	dma_hal_debug.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
      0	      0	      0	      0	      0	      0	      0	dma_ll.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
   4282	   2406	   1876	      0	      0	   4282	   10ba	uart_hal_debug.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
      0	      0	      0	      0	      0	      0	      0	uart_ll.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
    291	    178	    113	      0	      0	    291	    123	wdt_hal_debug.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
